objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel,onview
CMCH_1982-65-22,CMCH_1982-65-22.jpg,,,"Soldiers and Sailors Memorial Arch, Hartford, Connecticut",Unknown,about 1890,Stone retaining walls line the Park River. Grassy lawns are at left and right. Trees and bushes at the right are in Bushnell Park. A utility pole is at the far left. The stone arched Ford Street bridge at the brownstone Soldiers and Sailors Memorial Arch are reflected in the water. The arch has a sculptured frieze and two round Gothic towers.,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture; Landscape Architecture;  Memory & Commemoration,,,,,Connecticut Museum of Culture and History https://emuseum.chs.org/emuseum/objects/1288/soldiers-and-sailors-memorial-arch-hartford-connecticut?ctx=0db8b6c53f204347c03a209fd99ece87b128cffa&idx=1,CMCH_1982.65.22,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut Museum of Culture and History, Gift of Mr. Gail L. Smith, Masonic Home & Hospital",,
CMCH_1982-80-61B,CMCH_1982-80-61B.jpg,,,"Ladies Cycle Club of Hartford on hill near Soldiers and Sailors Monument, Hartford",Charles T. Stuart,,"Twelve women pose with bicycles on the lawn near the Soldiers and Sailors Monument. All wear long skirts and hats. Inscription on back: ""Fall 1890 Miss Martin (Mrs. Ford), Mrs. Brown, Miss Beeman, Mrs. Johnson, Miss Chamberlain (Mrs. Butler), Miss Hope, Mrs. Johnson (Little Ruby's Mother), Miss Spencer (Mrs. C.R. Nason), Miss Grace Chamberlain (behind the wall), Miss Nevers (Mrs. H.D. Tracy), Miss Signer, Miss Hattie Nevers (Mrs. E.H. Pember).",Cultural; Arts; Visual Arts; Photography; Built Environment; Environmental; Landscape Architecture; Social; Class; Identiity; Clubs/Organizations; Sports & Recreaction; Athletics; Leisure,Charles T. Stuart; Fannie Nason (nee Spencer); Jessie I. Tracy (nee Nevers); Hattie Nevers; Grace Chamberlain,"Soldiers & Sailors Memorial Arch, Bushnell Park, Hartford, Connecticut ",41.76571686,-72.67998066,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:14123,CMCH_1982.80.61B,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_1982-80-71,CMCH_1982-80-71.jpg,,,"Businesses on Central Row, Hartford",Unknown,1924,"Two adjoining brick commercial buildings. Signs read: ""Central Labor Union"" ""Honiss's / Oyster House Co."" ""Nemrow System Tobacco Co. "" Specialita in / sigari e Tabachi Parodi / Cash and Carry your Tobacco / Nemrow's / Stores in Principal Cities / A Safe Place to Economize"" ""Rundbaken / Sign Studio / Brass / and / Bronze / Tablets / Doors / and / Windows / Lettered"" ""Signs / of Every / Description / Out Door / Advertising - Electric / Signs"" ""Marble Pillar / Delicatessen / Restaurant"" ""Ad-Art Studios"" ""Mardquardt / Mortgage / Loans."" Several automobiles and trucks are parked beside the sidewalk. Signs on two trucks read: ""Honiss's / Oysters."" Inscribed on back: ""Temporary home of Honiss' / while WT. Grant bldg was / being erected on / State Street.""",Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; Consumer;,,"Central Row, Hartford, Connecticut",41.76584964,-72.67258251,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:9960,CMCH_1982.80.71,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_1985-224-0-2480,CMCH_1985-224-0-2480.jpg,,,"Mill on the Park River, Hartford",Kate L. Hayden,1850-1859,"View of a river with a small dam. A frame building with a stone foundation, probably a mill, is on the far shore. A stone retaining wall is nearby. A second frame building, a rail fence and trees are in the background. A rowboat is in the foreground. Inscribed on back: ""K.L. Hayden / Hartford, / Conn. / Drawn from nature / under / instruction of / Prof. Joseph Ropes.""",Cultural; Arts; Visual Arts; Drawing; Environmental; Built Environment; Architecture; Economy; Industry,Kate L. Hayden; Joseph Ropes,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:14494,CMCH_1985.224.0 2480,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,Joseph Ropes (1812-1885) had a studio in Hartford from 1851-1865.,
CMCH_1988-17-10,CMCH_1988-17-10.jpg,,,Grocery Interior,Unknown,1895-1930,"Interior of a grocery store. A man stands behind the counter. A woman stands behind a glass display case. Baked goods, canned goods and delicatessen are displayed in cases and on shelves. Bakery items include cakes, rolls, a jelly roll, doughnuts, and bread. Canned goods include Campbells beans and soups. Other products include ""Pfaffman's Prepared / Food Products"" ""Noo Noodles"" ""Heinz Spaghetti"" ""Kelloggs Corn Flakes"" ""Raisin Bran"" ""Chow Mein Noodles"" ""Sprouts"" ""Toasted / Cheese / Dainties."" A sign reads: ""Free / Money-saving / Theatre / Family / Tickets / Given Away to all Customers / Come in - Ask for them / Now."" ""Ask your grocer now."" An electric light hangs from the ceiling. The cabinet against the back wall may be an icebox or refrigerator. Sacks of coal are on the floor in the back corner. Inscribed on back: ""Unidentified location"" ""Gruenfeld's Court Market, 1895-1930.""",Cultural; Arts; Visual Arts; Photography; Economic; Labor; Business; Industry; Grocer,,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:9901,CMCH_1988.17.10,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_1991-199-0,CMCH_1991-199-0.jpg,,,"Encampment in City Park (now Bushnell Park), Hartford",R.S. DeLamater,1866,"Group of men gathered around a tepee-style tent. A covered wagon drawn by a white horse is at the left. The men wear straw hats. Some sit on bedrolls. Some hold tin cups or have cups suspended from their belts. Two hold rifles. A bucket is on the grass in the center. In the background, beyond a pond, the buildings of downtown Hartford, including the spire of Center Church, are visible.",Cultural; Arts; Visual Arts; Photography; Built Environment; Environmental; Landscape Architecture; Social; Class; Identiity,R.S. DeLamater,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:17689,CMCH_1991.199.0,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_1991-60-2,CMCH_1991-60-2.jpg,,,"Cincinnatus Anthony Taft, M.D.",unknown,before 1884,Bust-length portrait of an older man with brown eyes and a full gray beard. The man is wearing a pin. The miniature is in an oversized ivory in metal brooch.,Social;Identity; Cultural; Arts; Visual Arts; Painting,"Cincinnatus Anthony Taft, M.D.",,,,Connecticut Museum of Culture and History https://emuseum.chs.org/emuseum/objects/17204/cincinnatus-anthony-taft-md;jsessionid=97CCBF3FB6689713E4B4A0DCC2AFED7F?ctx=c47a950662f3e509656a533453baa92de5cb5e53&idx=0,CMCH_1991.60.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut Museum of Culture and History collection,Bequest of Robert H. Schutz, Jr.",,
CMCH_1994-249-0,CMCH_1994-249-0.jpg,,,Hartford Train Station,Unknown,after 1843,An oil on canvas painting in a gilt wood frame depicting a steam locomotive is emerging from between the two towers of a Romanesque revival style railroad station. Men and women and a stage coach are on the road at the right. Trees are at the far right. A large house is behind a fence on a grassy bank in the left background.,,,,,,CMCH_1994.249.0,CMCH_1994-249-0,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut Museum of Culture and History, Bequest of Mrs. Joan Morris in memory of her husband Vincent E. Morris","When Samuel and Olivia Clemens moved to their Hartford House in 1874, they would have been greeted by the city�s first train station, Union Depot, seen in this painting. This first station was designed to reflect an Italianate country villa, with arches, towers, and columns. The design was reflective of the opulence of the era and physical manifestation of Hartford�s claim to an elite status. The tracks ran through the center of the building and serviced two lines. Unfortunately, Union Depot was designed with style over substance and soon became too crowded and could not keep up with the demand of the bustling city. 
The second station is the building you still see here today. Hartford�s Union Station opened to the public in 1889 and was designed with function in mind to better serve the growing city. The tracks were moved to a second story level so that they didn�t interfere with the carriage traffic on the streets below. The new station also increased the number of lines being served from two to four, giving the residents of Hartford greater access to locales all over the country. ",
CMCH_1995-36-416,CMCH_1995-36-416.jpg,,,Hartford Fire Department Softball Team,William G. Dudley,,"Group of thirteen men and a boy posed in front of the Corning Fountain in Bushnell Park. The Connecticut State Capitol Building is in the background. Ten of the men are dressed in baseball uniforms, another in a business suit. Two men are in Fire Department uniforms. The man on the right is the Hartford Fire Chief, John C. Moran. There is baseball equipment on the ground, including bats, gloves and catcher's equipment.",Cultural; Arts; Visual Arts; Photography; Built Environment; Environmental; Landscape Architecture; Social; Class; Identiity; Clubs/Organizations; Sports & Recreaction; Athletics,William G. Dudley; John C. Moran,"Corning Fountain, Bushnell Park, Hartford, Connecticut ",41.76664913,-72.68103476,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:14002,CMCH_1995.36.416,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_2000-171-31,CMCH_2000-171-31.jpg,,,"Gold Street from Wells and Lewis Streets, Hartford.",Warner Photo Company,before 1899,View of Gold Street before it was widened in 1889. The First Congregational Church steeple visible in the background. Snow is on the ground.,Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture,Warner Photo Company,"Corner of Gold, Wells, and Lewis Streets",41.764333,-72.675667,Connecticut Museum of Culture and History https://emuseum.chs.org/emuseum/objects/21499/gold-street-from-wells-and-lewis-streets-hartford?ctx=83cfcaa7be66896ff77b23667b7f0a11880e5966&idx=7,CMCH_2000.171.31,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
