title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url,people,object_id,alt_text,exhibition_label,obj_type
University farms,,1895,Example locally hosted image item. 1895 photograph of University Farms. Moscow in background. [PG1_105-15],campuses; farms; horse-drawn vehicles,"Moscow, Idaho",46.729654,-117.024232,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_105-15,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test003,,,,,
"University farms, University of Idaho in distance",,1900,Example locally hosted image item. 1900 photograph of University Farms. Spanish American War Memorial in background. [PG1_105-16],campuses; farms; fields (land),"Moscow, Idaho",46.729654,-117.024232,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_105-16,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test004,,,,,
"Administration Building, Washington State College",Johnson,1905,"Example locally hosted image item. Photographic postcard of the administration building on the Washington State University campus in Pullman, Washington",universities; buildings; campuses; picture postcards,"Pullman, Washington",46.731465,-117.167398,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_76_02,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test005,,,,,
"Tacoma High School, Tacoma, Washington",Central News Company,1909-07-17,"Example locally hosted PDF item. Postcard is of a Tacoma, Washington High School, now named Stadium High School. Postmark 7/17/1909, Tacoma, WA. Destination Helena, MT.",high schools (buildings); historic buildings; trees; horse-drawn vehicles; picture postcards; flagpoles; flags,"Tacoma, Washington",47.265893,-122.448445,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_044,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test006,,,,,
"Pierce County Court House, Tacoma, Washington",Portland Post Card Co.,1911-02-23,"Example locally hosted PDF item. Postcard is of the old Pierce County Courthouse in Tacoma, Washington. The building was demolished in 1959. Postmark 2/23/1911, Tacoma, WA. Destination Los Angeles, CA.",public buildings; county courthouses; trees; historic buildings; picture postcards,"Tacoma, Washington",47.254744,-122.44638,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_041,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test007,,,,,
"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,"Example locally hosted PDF item. Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, Special Collections and Archives, University of Idaho Library",Postcard_032,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_002,,,,,
"Whatcom County Court House, Bellingham, Washington","Sandison, Lowman &amp; Hanford Co.",1920,"Example locally hosted PDF item. Postcard of the Whatcom County Courthouse in Bellingham, Washington.",public buildings; county courthouses; trees; picture postcards,"Bellingham, Washington",48.754334,-122.480156,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_018,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test009,,,,,
"Hotel Seattle, Seattle, Washington",,1901,"Example locally hosted PDF item. Postcard is of the Seattle Hotel in Seattle, Washington.",hotels (public accommodations); buildings; men; streetcars; photographic,"Seattle, Washington",47.601702,-122.334084,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_030,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test010,,,,,
"Snowstorm Concentrator, Troy, Montana. No. 6.",,1911,"Example locally hosted image item. Postcard of the concentrator building of the Snow Storm mine in Troy, Montana.",mining; mines (extracting complexes); mine buildings; men; photographic postcards,"Troy, Montana",48.453898,-115.904821,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_25_12,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test011,,,,,
"Natatorium, Boise, Idaho","Wesley Andrews, Inc.",1912,"Example locally hosted image item. Postcard is a photograph of a geothermal swimming pool that was located in Boise, Idaho.",swimming pools; trees; buildings; indoor swimming pools; photographic postcards,"Boise, Idaho",43.602705,-116.173324,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_01_04h,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test012,,,,,
"C. Weisgerber Brewery. Lewiston, Idaho.",,1905,Example locally hosted image item. Image of brewery building with horse cart and dog sitting on the street.,breweries,"Lewiston, Idaho",46.409184,-117.001734,"PG 5, University of Idaho Library Special Collections and Archives",5-007-8c,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test013,,,,,
"Albion State Normal School. Old Administration Building. Albion, Idaho.","Engstrom Studio, Lewiston",1915,Example locally hosted image item. Photograph of old Administration Building.,schools,"Albion, Idaho",42.412826,-113.576789,"PG 5, University of Idaho Library Special Collections and Archives",5-005-1o,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test014,,,,,
"Cottonwood Public School [under construction?]. Cottonwood, Idaho.",,1912,Example locally hosted image item. Twelve men posed outside building,,"Cottonwood, Idaho",46.051699,-116.351969,"PG 5, University of Idaho Library Special Collections and Archives",5-017-4a,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test015,,,,,
Good News – Power (Radio Episode Excerpt),"Robinson, Frank B.",1905-04-30,Example locally hosted audio item. A short excerpt from a Psychiana radio program episode that begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson; Failure; Success; Material Abundance,"Moscow, Idaho",46.733001,-116.991779,"Psychiana Digital Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/psychiana/",Good_News_08,Audio,audio/mp3,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_003,,,,,
"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,1925-10-30,"Example YouTube video item. Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L).",American Football,"Moscow, Idaho",46.726113,-117.015671,"Vandal Video Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/vandalvideo/","MG 23, Item 29",Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_004,,,,,
Interview with K. Silem Mohammad,"Becker, Devin",2014-06-16,Example Vimeo video item. Oral history interview with poet K. Silem Mohammad discussing recent changes in writing practices that occurred due to the advent of the computer and the arrival of the digital age.,Poetry,"Ashland, OR",42.1916714,-122.728533,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",,Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_005,,,,,
Ford pumper used for slash burning control,"Thompson, J. B.",1932-09-01,Example image item externally hosted on CONTENTdm. Ford pumper used for slash burning control. September 1932. From the photo series depicting the broadcast burn at the mouth of Benton Creek.,forestry,Bonner County;Priest River Experimental Forest;Benton Creek,48.34472222,-116.8483333,"Experimental Forest and Savenac Nursery Archive, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/expforest/",FirePump1,Image;StillImage,image/jpg,eng,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_006,,,,,
Influence of Fishway Placement on Fallback of Adult Salmon at the Bonneville Dam on the Columbia River,"Reischel, T.S.; Bjornn, T.C.",1905-06-25,Example metadata-only record with link to external source. Journal article.,fisheries management,Bonneville Dam,45.6442837,-121.9428256,"North American Journal of Fisheries Management, vol. 23, issue 4, p. 1215-1224. DOI: 10.1577/M02-113",DOI:10.1577/M02-113,Text,record,eng,"Metadata-only record, please check publication for rights",,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_007,,,,,
Hell&#39;s Half Acre,Keeping Watch,,"Example compound object. Hells Half Acre is an R-6 cabin that is easily accessible by road in the Selway-Bitterroot Wilderness. Originally a platform on top of a forty-foot-tall tower, the original Hell&#39;s Half Acre cabin was an L-4.  Now one of the most popular lookouts in Idaho or Montana, it sits above a snag forest of mostly lodgepole pine. A sign at the base of the summit informs drivers that the tower opens at 9 am. Unsure if this refers to mountain or pacific time, we wait at the sign and drink our coffee. ",,,45.64579,-114.62838,Keeping Watch Fire Tower Oral HIstory Project,,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_008,,,,,
Hell&#39;s Half Acre Lookout Image,Keeping Watch,2021-07-13,Example child object. Image of the Interior of Hell&#39;s Half Acre Fire Tower,,Hell&#39;s Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_009,,,,,
Patrick McMarron Records Fire Conditions at Hell&#39;s Half Acre Lookout,Keeping Watch,2021-07-13,Example child object. Video of Patrick McMarron recording fire conditions in July of 2021 on Hells Half Acre Fire Lookout,,Hell&#39;s Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_010,,,,,
Outside shot of Hells Half Acre Lookout,Keeping Watch,2021-07-13,Example child object. Outside shot of Hells Half Acre Lookout,,Hell&#39;s Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_011,,,,,
Patrick McMarron Discusses the Importance of Human Beings on the Lookout,Keeping Watch,2021-07-13,Example child object. Video of Patrick McMarron discussing the importance of human beings staffing fire lookouts,Patrick McMarron; Hell&#39;s Half Acre,Hell&#39;s Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_012,,,,,
Peeled Tree,,,Example multiple. A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,record,multiple,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_013,,,,,
Peeled Tree View 1,,,,,,,,,,,image/jpeg,,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_014,,,,,
Peeled Tree View 2,,,,,,,,,,,image/jpeg,,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_015,,,,,
Peeled Tree View 3,,,,,,,,,,,image/jpeg,,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_016,,,,,
"Spokane&#39;s Great Restaurant, Washington","Mitchell, Edward H.",1909,"Example postcard using display template &#39;multiple.&#39; Postcard is of the Davenport Hotel&#39;s Restaurant in Spokane, Washington.",restaurants; automobiles; buildings; picture postcards; flagpoles; flags,"Spokane, WA",47.65710758,-117.4249084,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Postcard_038,record,multiple,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_017,,,,,
postcard front,,,,,,,,,210a,,image/jpeg,,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_018,,,,,
postcard back,,,,,,,,,210b,,image/jpeg,,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_019,,,,,
"Jennie Eva Hughes, the First Black Graduate of the University of Idaho",,1899,"Example compound object. Items from the Black History at University of Idaho that feature Jennie Eva Hughes, the first black graduate of the University of Idaho",Jennie Eva Hughes; Black History; University of Idaho,"Moscow, ID",46.725562,-117.009633,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,,record,compound_object,eng,,,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_020,,,,,
Portrait of Jennie Eva Hughes [1],,1899,Example child object. Black and white portrait of Jennie Eva Hughes.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,mg5758_001,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_021,,,,,
Portrait of Jennie Eva Hughes [2],,1899,Example child object. Black and white standing portrait of Jennie Eva Hughes dressed in white. Hughes holds a scroll in her left hand.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,mg5758_002,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_022,,,,,
&quot;The Uncrowned King&quot; by Jennie Eva Hughes,"Hughes, Jennie Eva",1898-04-15,"Example child object. This speech won her the medal oration on April 15, 1898 at University of Idaho.",,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,mg5758_003,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_023,,,,,
Spokesman article about Jennie Eva Hughes&#39; oration win,The Spokesman-Review,1898,Example child object. Spokesman-Review article about the oratorical event event and Jennie Eva Hughes&#39; win.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,mg5758_004,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_024,,,,,
University of Idaho class of 1899,,1898,"Example child object. Back row (left to right): Fred Merriam, Clara Playfair, Eva Nichols, Clem Herbert, Guy Wolfe, Ava Sweet, Fred Moore. Front row (left to right): Kate Hanley, Maude Mix, Charles Armstrong, Will Stillinger, Jennie Eva Hughes, Gilbert Hogue.",,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,pg2_110_1,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_025,,,,,
Jennie Eva Hughes&#39; 1898 registration card at University of Idaho,,1898-09-23,Example child object. Jennie Eva Hughes&#39; registration card for 1898 for the University of Idaho.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,ma2000_29_001,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_026,,,,,
Jennie Eva Hughes&#39; 1899 registration card at University of Idaho,,1899-02-15,Example child object. Jennie Eva Hughes&#39; registration card for 1899 for the University of Idaho.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,ma2000_29_002,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_027,,,,,
Innovation of Class Day,,1899-06-01,Example child object. Argonaut article about Class Day with mention of the oration given by Jennie Eva Hughes.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,arg-1899-06-01_p181-innovation,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_028,,,,,
The First Black Graduate - Jennie Eva Hughes,"Shannon, Michelle",2022,Example child object. Article summarizing the history of Jennie Eva Hughes at the Univeritiy of Idaho.,,,,,&lt;a href=&#39;https://www.lib.uidaho.edu/blackhistory/&#39; target=&#39;_blank&#39;&gt;Black History at the University of Idaho Digital Collection&lt;/a&gt;,https://www.lib.uidaho.edu/blackhistory/features/hughes.html,text,record,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_029,,,,,
