objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
1956-12,no,,,Bret Harte Enjoys a Drink at Mark Twain's House,W. Kirkman Plummer,,,Culture; Arts; Visual Arts; Painting; Environment; Built Environment; Buildings/Architecture,Bret Harte; Samuel Langhorne Clemens; W. Kirkman Plummer; National Distillery Company,"38.14672588440519, -84.84175119082809",41.76705545,-72.70141583,The Mark Twain House & Museum,1956.12,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of National Distillery Company",Painting used by The Old Corw Distillery Company for an advertistment for their bourbon
1957-P1-ClaraAnnotations,yes,,,"Floor Plans, Mark Twain Memorial, Annotated by Clara (Clemens) Samossoud - 1st Floor",Clara Clemens,1957,,Environment; Built Environment; Buildings/Architecture,Clara Langdon Clemens,,41.76705545,-72.70141583,The Mark Twain House & Museum,1957-P1-ClaraAnnotations,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain Memorial Instistutional Archive ,"In 1957 the Mark Twain Library and Memorial Commission hosted Clara Clemens Samossoud at the Hartford home. During her visit she was provided plans for the three main floors and was asked to notate the rooms with her memories of furnishings, layout, and uses. These three floor plans were and continue to be used during the Mark Twain Memorial's restoration efforts. "
1957-P2-ClaraAnnotations,yes,,,"Floor Plans, Mark Twain Memorial, Annotated by Clara (Clemens) Samossoud - 2nd Floor",Clara Clemens,1957,,Environment; Built Environment; Buildings/Architecture,Clara Langdon Clemens,,41.76705545,-72.70141583,The Mark Twain House & Museum,1957-P2-ClaraAnnotations,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain Memorial Instistutional Archive ,"In 1957 the Mark Twain Library and Memorial Commission hosted Clara Clemens Samossoud at the Hartford home. During her visit she was provided plans for the three main floors and was asked to notate the rooms with her memories of furnishings, layout, and uses. These three floor plans were and continue to be used during the Mark Twain Memorial's restoration efforts. "
1957-P3-ClaraAnnotations,yes,,,"Floor Plans, Mark Twain Memorial, Annotated by Clara (Clemens) Samossoud - 3rd Floor",Clara Clemens,1957,,Environment; Built Environment; Buildings/Architecture,Clara Langdon Clemens,,41.76705545,-72.70141583,The Mark Twain House & Museum,1957-P3-ClaraAnnotations,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain Memorial Instistutional Archive ,"In 1957 the Mark Twain Library and Memorial Commission hosted Clara Clemens Samossoud at the Hartford home. During her visit she was provided plans for the three main floors and was asked to notate the rooms with her memories of furnishings, layout, and uses. These three floor plans were and continue to be used during the Mark Twain Memorial's restoration efforts. "
1961-35,no,,,Untitled (Hartford Scenes),Benn Hill,c.1961,,Culture; Arts; Visual Arts; Painting; Print; Environment; Built Environment; Buildings/Architecture,Ben Hill,,41.76705545,-72.70141583,The Mark Twain House & Museum,1961.35,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of Southern New England Telephone Company","Framed print displaying Hartford scenes and symbols, including the Twain house used for The Southern New England Telephone Company's cover"
1964-23,1964.23_f,,,Monogramed Dress Shirt,Unknown,unknown,"Cotton man's dress shirt, monogram hand embroidered in red thread, 2 small white mother of pearl 4-hole French bevel buttons",Cultural; Fashion; Adornment,Samuel L. Clemens,,,,The Mark Twain House & Museum,1964.23,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Museum Purchase.","Samuel Clemens was known to have purchased custom dress shirts, like this one, from multiple stores. This shirt was passed from ladies' maid Katy Leary to a friend from Hartford from who's nephew the Museum purchase it back in 1964"
1964-31-1,no,,,Hi & Lois Comic Strip,Mort Walker and Dik Brown,,,Culture; Arts; Visual Arts; Drawing; Environment; Built Environment; Buildings/Architecture,Mort Walker; Dik Brown,,41.76705545,-72.70141583,The Mark Twain House & Museum,1964.31.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of Mort Walker",
1967-28-1,no,,,Mark Twain in the Library of his Hartford Home,Arthur Jule Goodman,1891,Chalk drawing,Culture; Arts; Visual Arts; Drawing; Environment; Built Environment; Buildings/Architecture,Arthur Jule Goodman; Samuel Langhorne Clemens,,41.76705545,-72.70141583,The Mark Twain House & Museum,1967.28.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Museum Purchase","Drawing of Mark Twain seated in library of the Hartford house by Arthur Jule Goodman, 1891. Chalk on wove paper. This is the only known image of Samuel Clemens inside his Hartford home – no photographs are known to exist. Here he sits in a chair next to the impressive Scottish fireplace in the library shortly before the family departed the house. A Hartford native, Goodman was a magazine artist who studied in Paris and painted many notables, including “Buffalo Bill” Cody.
"
1975-32-4,,,,Hat Pin,,,"Metal hat pin, 7"" in length. Designed to look like a sword, with a bird sitting on a leaf on the hilt. Tarnished.",Social;Identity;GenderCultural;Fashion;Adornment,Jane Clemens,,,,Mark Twain House and Museum,1975.32.4,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Mr. & Mrs. Eugene Greenman",
1977-7-1,no,,,Historic Preservation Award,National Trust for Historic Preservation,May-77,,Cultural; Arts; Memory & Commemoration; Political; Social,David E. Finley,,41.76705545,-72.70141583,The Mark Twain House & Museum,1977.7.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of the National Trust for Historic Preservation","David E. Finley Award, from the National Trust for Historic Preservation for Significant Achievement in Historic Preservation in the United States to the Mark Twain House from May 1977"
1994-2,1994.2_f_20240805,,,Merchandising Bag for Mark Twain Flour,Voigt Milling Company,c.1900,,Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,"Grand Rapids, Michigan",42.9769937,-85.67102783,The Mark Twain House & Museum,1994.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House and Museum collections,
1994-2,1994.2_b_20240805,,,Merchandising Bag for Mark Twain Flour,Voigt Milling Company,c.1900,,Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,"Grand Rapids, Michigan",42.9769937,-85.67102783,The Mark Twain House & Museum,1994.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House and Museum collections,
1999-11-1,1999.11.1_f1_20240805,,,Mark Twain Halmark Collar,"Hall, Hartwell & Co. ",,"White collar with cellophane wrapper. Wrapper has blue label printed with with reproduction of MT signiture and under that ""Halmark Hall, Hartwell & C0., Troy Laundry Shrunk - Semi-Soft Collar"". Collar is White, with signs of discoloration from age. Total length of collar is 16 1/2"" and width is 2"". It is indicated on the back that it is for a 14 1/2"" neck. There is water damage to one side of center fold measuring aprox. 2"". Printed on the back is a trademark of Hall and Hartwell, Langhorne Laundry Shrunk and patent date of July 5th 1921 number 5895. ",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens; Hall Hartwell & co,,,,The Mark Twain House & Museum,1999.11.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
1999-11-1,1999.11.1_f2_20240805,,,Mark Twain Halmark Collar,"Hall, Hartwell & Co. ",,"White collar with cellophane wrapper. Wrapper has blue label printed with with reproduction of MT signiture and under that ""Halmark Hall, Hartwell & C0., Troy Laundry Shrunk - Semi-Soft Collar"". Collar is White, with signs of discoloration from age. Total length of collar is 16 1/2"" and width is 2"". It is indicated on the back that it is for a 14 1/2"" neck. There is water damage to one side of center fold measuring aprox. 2"". Printed on the back is a trademark of Hall and Hartwell, Langhorne Laundry Shrunk and patent date of July 5th 1921 number 5895. ",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens; Hall Hartwell & co,,,,The Mark Twain House & Museum,1999.11.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
1999-11-1,1999.11.1_d1_20240805,,,Mark Twain Halmark Collar,"Hall, Hartwell & Co. ",,"White collar with cellophane wrapper. Wrapper has blue label printed with with reproduction of MT signiture and under that ""Halmark Hall, Hartwell & C0., Troy Laundry Shrunk - Semi-Soft Collar"". Collar is White, with signs of discoloration from age. Total length of collar is 16 1/2"" and width is 2"". It is indicated on the back that it is for a 14 1/2"" neck. There is water damage to one side of center fold measuring aprox. 2"". Printed on the back is a trademark of Hall and Hartwell, Langhorne Laundry Shrunk and patent date of July 5th 1921 number 5895. ",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens; Hall Hartwell & co,,,,The Mark Twain House & Museum,1999.11.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-2,1999.4.2_f_20240805,,,Cigarette Card,S. Anargyros,,"Cigarette Card measuring 2"" x 2 3/4"". The front features an image of Mark Twain on the left and ""Let all your troubles end in smoke!"" on the right. There is a red border around the front. On the back, a stamped design logo of Mogul Egyptian Cigarettes toast series 426 to 550. It also has production of S. Anargyros factory no. 7 3rd Dist. N.Y. There is also a seperate stamp with the number 119. The card is bent along a slight diagonal from left to right (looking at front) Starting about 3/4"" down from top of left side. ",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-2,1999.4.2_b_20240805,,,Cigarette Card,S. Anargyros,,"Cigarette Card measuring 2"" x 2 3/4"". The front features an image of Mark Twain on the left and ""Let all your troubles end in smoke!"" on the right. There is a red border around the front. On the back, a stamped design logo of Mogul Egyptian Cigarettes toast series 426 to 550. It also has production of S. Anargyros factory no. 7 3rd Dist. N.Y. There is also a seperate stamp with the number 119. The card is bent along a slight diagonal from left to right (looking at front) Starting about 3/4"" down from top of left side. ",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-3,1999.4.3_f_20240805,,,Cigarette Card,S. Anargyros,,"Cigarette Card measuring 2"" x 2 3/4"". The front features an image of Mark Twain on the left and ""To Woman: A Parodox when she puzzles and puzzles when she pleases"" on the right. There is a red border around the front. On the back, a stamped design logo of Mogul Egyptian Cigarettes toast series 426 to 550. It also has production of S. Anargyros factory no. 7 3rd Dist. N.Y. There is also a seperate stamp with the first word unknown No. 120",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.3,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-3,1999.4.3_b_20240805,,,Cigarette Card,S. Anargyros,,"Cigarette Card measuring 2"" x 2 3/4"". The front features an image of Mark Twain on the left and ""To Woman: A Parodox when she puzzles and puzzles when she pleases"" on the right. There is a red border around the front. On the back, a stamped design logo of Mogul Egyptian Cigarettes toast series 426 to 550. It also has production of S. Anargyros factory no. 7 3rd Dist. N.Y. There is also a seperate stamp with the first word unknown No. 120",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.3,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-5,1999.4.5_f_20240805,,,Cigarette Card,W. Duke Sons & Co. ,,"Cigarette card measuring 2 3/4"" x 3/4"". The front of the card features an iage of Mark Twain on bottom 2/3 of card, and an image from ""A Tramp Abroad"" and a reproduction of signature in top 1/3 of card. On the bottom of front is stamped the logo of Duke's Cigarettes. On the back of card there is a list of ""Great Americans"" including John Adams, Samuel Morse, and Noah Webster. Again at the bottom there is a stamp of the logo of Duke's Cigarette's, Durham N.C.",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.5,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-5,1999.4.5_b_20240805,,,Cigarette Card,W. Duke Sons & Co. ,,"Cigarette card measuring 2 3/4"" x 3/4"". The front of the card features an iage of Mark Twain on bottom 2/3 of card, and an image from ""A Tramp Abroad"" and a reproduction of signature in top 1/3 of card. On the bottom of front is stamped the logo of Duke's Cigarettes. On the back of card there is a list of ""Great Americans"" including John Adams, Samuel Morse, and Noah Webster. Again at the bottom there is a stamp of the logo of Duke's Cigarette's, Durham N.C.",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.5,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-6,1999.4.6_f_20240805,,,Cigarette Card,Ogden's Cigarette's,,"Cigarette card measuring 2 1/4"" x 1 1/2"". It features a photograph of Twain on front in black and white, with photo lableing him as a ""Humorist"" and mentoning Innocents Abroad. At the bottom is stamped the logo for Ogden's Guinea Gold Cigarettes",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.6,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
1999-4-6,1999.4.6_b_20240805,,,Cigarette Card,Ogden's Cigarette's,,"Cigarette card measuring 2 1/4"" x 1 1/2"". It features a photograph of Twain on front in black and white, with photo lableing him as a ""Humorist"" and mentoning Innocents Abroad. At the bottom is stamped the logo for Ogden's Guinea Gold Cigarettes",Social;Identity; Economic; Industry; Manufacturing; Consumer; Buisness,Samuel L. Clemens,,,,The Mark Twain House & Museum,1999.4.6,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House and Museum, Museum Purchase",
2000-2-1,yes,,,"Mr. Samuel L. Clemens (Mark Twain) Residence, Hartford, Conn. ",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,2000.2.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
2002-3-1 A-I,2002.3.1-A-I_f1_20240805,,,Mark Twain Halmark Collars,"Hall, Hartwell & Co. ",,"A-B- Box and Lid: Yellow box 10"" x 3 1/2"" x 3 1/2"" Yellow Lid 10 1/4"" x 3 3/4"" x 1"". Lid has water damage on left 1/4 of lid. Lid has Black stamp with reproduction of MT signiture and under that ""Halmark Hall, Hartwell & C0., Troy Laundry Shrunk - Semi-Soft Collar"". Box has no markings except on one short side with stamp indicating League Brand, and there were a dozen collars in box. The stamp also says ""No. J140 15"" C- Pink striped collar in celophane wrapper. Collar is stripped pink, black, and brown. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. E- Blue Collar. Color is striped with blue, pink and green. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. G- Pink and Grey Collar. Collar is striped with shades of pink and grey. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. I- Red collar. Collar is striped with red and black. Background of collar looks discolored, but after further investigation, it appears to be purposefully that beige color. There is staining on left side from tag, three black spots aprox 3 1/4"", 2"", and 1"" from the side of colored side of collar. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side.",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens; Hall Hartwell & co,,,,The Mark Twain House & Museum,2002.3.1 A-I,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
2002-3-1 A-I,2002.3.1-A-I_f2_20240805,,,Mark Twain Halmark Collars,"Hall, Hartwell & Co. ",,"A-B- Box and Lid: Yellow box 10"" x 3 1/2"" x 3 1/2"" Yellow Lid 10 1/4"" x 3 3/4"" x 1"". Lid has water damage on left 1/4 of lid. Lid has Black stamp with reproduction of MT signiture and under that ""Halmark Hall, Hartwell & C0., Troy Laundry Shrunk - Semi-Soft Collar"". Box has no markings except on one short side with stamp indicating League Brand, and there were a dozen collars in box. The stamp also says ""No. J140 15"" C- Pink striped collar in celophane wrapper. Collar is stripped pink, black, and brown. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. E- Blue Collar. Color is striped with blue, pink and green. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. G- Pink and Grey Collar. Collar is striped with shades of pink and grey. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. I- Red collar. Collar is striped with red and black. Background of collar looks discolored, but after further investigation, it appears to be purposefully that beige color. There is staining on left side from tag, three black spots aprox 3 1/4"", 2"", and 1"" from the side of colored side of collar. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side.",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens; Hall Hartwell & co,,,,The Mark Twain House & Museum,2002.3.1 A-I,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
