objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit
Carriage-House--1-Groo-2023,Carriage-House-#1-Groo-2023.jpg,,,Carriage House,John Groo,2023,,,,,,The Mark Twain House & Museum,Carriage House #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Children's-Photos:-Langdon--2,Childrens-Photos-Langdon-#2.tif,,,Portrait of Langdon Clemens in Pram,John H. Whitney,1871-1872,,,,,,The Mark Twain House & Museum,Children's Photos: Langdon #2,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum; Gift of the Webster Family
Childrens-Photos-Clara-before-marriage--3,Childrens-Photos-Clara-before-marriage-#3.jpg,,,Portrait of Clara Langdon Clemens,,1878,,,,,,The Mark Twain House & Museum,Childrens Photos Clara before marriage #3,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Childrens-Photos-Clara-Samossoud--11,Childrens-Photos-Clara-Samossoud-#11.jpg,,,Clara & Jacques Samossoud,,c.1944-1949,,,,,,The Mark Twain House & Museum,Childrens Photos Clara Samossoud #11,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Childrens-Photos-Jean-1880-1891--5,Childrens-Photos-Jean-1880-1891-#5.tif,,,Portrait of Jane Lampton Clemens,Horace L. Bundy,1885,,,,,,The Mark Twain House & Museum,Childrens Photos Jean 1880-1891 #5,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Olivia Loomis Lada- Mocarski"
Childrens-Photos-Susy-1872-1880--7,Childrens-Photos-Susy-1872-1880-#7-(edited).tif,,,Portrait of Olivia Susan Clemens,,1878,,,,,,The Mark Twain House & Museum,Childrens Photos Susy 1872-1880 #7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Clara-before-marriage--5,Clara-before-marriage-#5-(2).tif,,,Clara with Jumbo,H.L. Bundy,c. 1884,,,,,,The Mark Twain House & Museum,Clara before marriage #5,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift Olivia Loomis Lada-Mocarski"
Clemens-Bedroom--1-Groo-2023,Clemens-Bedroom-#1-Groo-2023.jpg,,,Clemens Bedroom,John Groo,2023,,,,,,The Mark Twain House & Museum,Clemens Bedroom #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
"Clemens-Family-Photos---Clemens,-J-M--&-Family--1","Clemens-Family-Photos--Clemens,-J.M.-&-Family-#1.jpg",,,Jane Lampton Clemens,,,,,,,,The Mark Twain House & Museum,"Clemens Family Photos - Clemens, J.M. & Family #1",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Harper's"
CMCH--1969-20-1-199,CMCH-#1969.20.1.199.tif,,,"Morgan G. Bulkeley at his desk, Aetna Life Insurance Company, 650 Main Street, Hartford",,c. 1890-1899,,,,,," Kevin Mac Donnell, Austin, Texas",CMCH #1969.20.1.199,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culure and History collection
CMCH-1979-46-1,1979.46.1-CMHC.jpg,,,"The Chinese College, Hartford, Connecticut",Theodore R. David and William Allen Rogers,05/18/1878,,,,,,"Connecticut Museum of Culture and History Collection, Museum purchase ",CMCH 1979.46.1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culture and History Collection
Compositor-drawing--622,Compositor-drawing-#622.jpg,,,Paige Compositor,,,,,,,,The Mark Twain House & Museum,Compositor drawing #622,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Conservatory--1-Groo-2011,Conservatory.jpg,,,Conservatory,John Groo,2011,,,,,,The Mark Twain House & Museum,Conservatory #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Courant_02031873,Hartford_Courant_Mon__Feb_3__1873_-(1).jpg,,,Father Hawley's Acknowledgement,Hartford Courant,02/03/1873,,,,,,Newspapers.com ,Courant_02031873,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Clipping from Newspapers.com 
"Crane,-Susan--1","Crane,Susan#1.tif",,,Susan Crane,,,,,,,,The Mark Twain House & Museum,"Crane, Susan #1",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Decorators-Misc---Colman,-Samuel",Samuel-Colman-#4.tif,,,Samuel Colman,,,,,,,,The Mark Twain House & Museum,"Decorators Misc.- Colman, Samuel",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Mrs. Emmet N. O'Brien"
Decorators-Misc--Associated-Artists-1879-1883--11,Decorators-Misc.-Associated-Artists1879-1883-#11.jpg,,,The Veterans' Room,Scribner's Vol. XXII,1879-1883,,,,,,The Mark Twain House & Museum,Decorators Misc. Associated Artists 1879-1883 #11,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Dining-Room--1-Groo-2011,Dining-Room-#1-Groo-2011.jpg,,,Dining Room ,John Groo,2011,,,,,,The Mark Twain House & Museum,Dining Room #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Drawing-Room--1-Groo-2023,Drawing-Room-#1-Groo-2023.jpg,,,Drawing Room ,John Groo,2023,,,,,,The Mark Twain House & Museum,Drawing Room #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Early-MTH-sketch-,Early-MTH-sketch.jpg,,,Early Sketch of Mark Twain House,,,,,,,,The Mark Twain House & Museum,Early MTH sketch ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Edward-T--Potter,Edward-T.-Potter.jpg,,,Portrait of Edward Tuckerman Potter,,,,,,,,The Mark Twain House & Museum,Edward T. Potter,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Employees--1-Patrick-McAleer,Patrick.jpg,,,Patrick McAleer,,,,,,,,The Mark Twain House & Museum,Employees #1 Patrick McAleer,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Employees--21-Katy-Leary,Katy-Leary.tif,,,Katy Leary,H.L. Bundy,,,,,,,The Mark Twain House & Museum,Employees #21 Katy Leary,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Mueum, Gift in memory of Marguerite Leary Conway, 2005"
Employees--6-John--&-Ellen-O'Neil,Oneills1905-lightened.JPG,,,John & Ellen O'Neil,,1905,,,,,," The Mark Twain Papers, Bancroft Library, University of California at Berkeley",Employees #6 John  & Ellen O'Neil,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of The Mark Twain Papers, Bancroft Library, University of California at Berkeley"
Exterior-1874-81--7,Exterior-1874-81-#7.jpg,,,The Mark Twain House,Unidentified photographer,1874-1881,,,,,,The Mark Twain House & Museum,Exterior 1874-81 #7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
First-floor-(2)-,first-floor2-(2).psd,,,First Floor Layout of Mark Twain House,,,,,,,,The Mark Twain House & Museum,First floor (2) ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Friends-Photos---Gillette,-William--10","Friends-Photos---Gillette,-William-#10.jpg",,,William Gillette,,c. 1875,,,,,,The Mark Twain House & Museum,"Friends Photos - Gillette, William #10",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Front-Hall--1-Groo-2023-,Front-Hall-#1-Groo-2023.jpg,,,Front Hall ,John Groo,2023,,,,,,The Mark Twain House & Museum,Front Hall #1 Groo 2023 ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Front-Hall-marble-cleaning,Front-hall-marble-cleaning.jpg,,,Front Hall Marble Floor,,2000s,,,,,,The Mark Twain House & Museum,Front Hall marble cleaning,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
"Gabrilowitsch,-Ossip--3","Gabrilowitsch,-Ossip-#3.tif",,,Ossip Gabrilowitsch ,,,,,,,,The Mark Twain House & Museum,"Gabrilowitsch, Ossip #3",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Hartford_Courant_Wed_May_27_1903_,Hartford_Courant_Wed__May_27__1903_.jpg,,,Household Furniture Auction,Hartford Courant,27-May-03,,,,,,Newspapers.com ,Hartford_Courant_Wed_May_27_1903_,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Clipping from Newspapers.com 
Hartford-Nook-Farm--2,Hartford-Nook-Farm-#2.jpg,,,Thomas Perkins' House,,,,,,,,Harriet Beecher Stowe Center,Hartford Nook Farm #2,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Harriet Beecher Stowe Center 
Hartford-Public-High-School-1883-1887,Hartford-Public-High-School-1883-1897-HPHS.jpg,,,Hartford Public High School,,1883,,,,,,"Courtesy of Hartford Public High School Museum and Archive, Hartford, CT",Hartford Public High School 1883-1887,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Courtesy of Hartford Public High School Museum and Archive, Hartford, CT"
Houses-other-Hooker--1,Houses-other-Hooker-#1-(2).tif,,,Home of John and Isabelal Beecher Hooker,,1870s-1880s,,,,,,The Mark Twain House & Museum,Houses-other-Hooker #1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Jervis-Langdon,JervisLangdon.jpg,,,Jervis Langdon,,,,,,,,The Mark Twain House & Museum,Jervis Langdon,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Karl-Gerhardt-Photo-,KarlGerhardtPhoto.jpg,,,Karl Gerhardt,,,,,,,,The Mark Twain House & Museum,Karl Gerhardt Photo ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of Kevin Mac Donnell, Austin, Texas."
Kitchen--1-Groo-2011,Kitchen-#1-Groo-2011.jpg,,,Kitchen,John Groo,2011,,,,,,The Mark Twain House & Museum,Kitchen #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
KMD_GeorgeGriffin_Stereoview,KMD_GeorgeGriffin_Stereoview,,,George Griffin and four women on the ombra of the Clemens' Hartford home ,Daniel S. Camp,1875,,,,,," Kevin Mac Donnell, Austin, Texas",KMD_GeorgeGriffin_Stereoview,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of Kevin Mac Donnell, Austin, Texas."
KMD_GeorgeGriffin_Stereoview-cropped,George-Griffin--cropped.jpg,,,George Griffin,Daniel S. Camp,1875,,,,,," Kevin Mac Donnell, Austin, Texas",KMD_GeorgeGriffin_Stereoview-cropped,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of Kevin Mac Donnell, Austin, Texas."
L-C--Tiffany--9,L.C.Tiffany-#9.tif,,,Portrait of Louis Comfort Tiffany,Unidentified photographer,1910s,,,,,,The Mark Twain House & Museum,L.C. Tiffany #9,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Mr. & Mrs. Collier Platt"
Langdon-Bedroom--1-Groo-2011,Langdon-bedroom-#1-Groo.jpg,,,Langdon Bedroom,John Groo,2011,,,,,,The Mark Twain House & Museum,Langdon Bedroom #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
"Langdon,-Olivia-Lewis--2-1","Langdon,-Olivia-Lewis-#2.1-(2).tif",,,Olivia Lewis Langdon,E.M. Van Aken ,,,,,,,The Mark Twain House & Museum,"Langdon, Olivia Lewis #2.1",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
LC-DIG-pga-01650,LC-DIG-pga-01650.jpg,,,"American Asylum for the Deaf, Hartford, Conn. ",Hiram P. Arms,1881,,,,,,Library of Congress ,LC-DIG-pga-01650,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Library of Congress 
Library--1-Groo-2011,Library-#2-Groo-2011.jpg,,,Library,John Groo,2011,,,,,,The Mark Twain House & Museum,Library #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
"Livy-to-OLL-Feb--2,-1890","Livy-to-OLL-Feb.-2,-1890.jpg",,,Letter from Olivia Langdon Clemens to Olivia Lewis Langdon,Olivia Langdon Clemens,02/02/1890,,,,,,The Mark Twain House & Museum,"Livy to OLL Feb. 2, 1890",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Ida Langdon"
LOC_2001704085,cph-3b29774-hdl.loc.govloc.pnpcph.3b29774.jpg,,,Joel Chandler Harris,Frances Benjamin Johnston,c. 1906,,,,,,"Frances Benjamin Johnston Photograph Collection, Library of Congress, Prints & Photographs Division, [Reproduction number e.g., LC-USZ62-123456].",LOC_2001704085,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image courtesy of Frances Benjamin Johnston Photograph Collection, Library of Congress, Prints & Photographs Division, [Reproduction number e.g., LC-USZ62-123456]."
LOC-2002725252,U.S.-Grant.jpg,,,Ulysses S. Grant,"E. B. Treat, NY"", and ""Artotype E. Bierstadt""",1885,,,,,,Library of Congress <www.loc.gov/item/2002725252/>,LOC 2002725252,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Library of Congress 
LOC-2004672776,HB-Stowe.tif,,,Harriet Beecher Stowe,,c. 1880,,,,,,Library of Congress <www.loc.gov/item/2004672776/>,LOC 2004672776,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Library of Congress 
Lockwood-deForest--1,Lockwood-deForest-#1.tif,,,Portrait of Lockwood de Forest,,,,,,,,The Mark Twain House & Museum,Lockwood deForest #1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Mahogany-Room-restoration-2016,Mahogany-Room-restoration-2016.JPG,,,Mahogany Room restoration,,2016,,,,,,The Mark Twain House & Museum,Mahogany Room restoration 2016,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Mahogany-Suite--1-Groo-2023,Mahogany-Suite-#1-Groo-2023.jpg,,,Mahogany Suite,John Groo,2023,,,,,,The Mark Twain House & Museum,Mahogany Suite #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Map-of-Nook-Farm-in-1874,Nook-Farm-Map-1874.jpg,,,Nook Farm Map,,,,,,,,The Mark Twain House & Museum,Map of Nook Farm in 1874,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Marie-Bissell-&-children,Marie-Bissell-&-children.jpg,,,Marie Bissell and her chidlren,,,,,,,,The Mark Twain House & Museum,Marie Bissell & children,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
